country,country_code,year,school_completion_primary_female_rate
Afghanistan,AFG,2015.0,6.84849977493286
Angola,AGO,2015.0,31.9720897674561
Albania,ALB,2015.0,96.1328741348723
Andorra,AND,2015.0,96.0746002197266
Armenia,ARM,2015.0,99.7875919214737
Australia,AUS,2015.0,100.0
Austria,AUT,2015.0,100.0
Azerbaijan,AZE,2015.0,97.8565673828125
Belgium,BEL,2015.0,94.274658203125
Bangladesh,BGD,2015.0,50.285831451416
Bulgaria,BGR,2015.0,98.7044628282828
Bosnia and Herzegovina,BIH,2015.0,71.7043380737305
Belize,BLZ,2015.0,84.9447708129883
Bolivia,BOL,2015.0,56.2
Brazil,BRA,2015.0,78.176643371582
Canada,CAN,2015.0,93.8281544175651
Switzerland,CHE,2015.0,99.6171188354492
Chile,CHL,2015.0,86.1319198608398
"Congo, Rep.",COG,2015.0,65.2519607543945
Colombia,COL,2015.0,76.388427734375
Cabo Verde,CPV,2015.0,49.4651718139648
Costa Rica,CRI,2015.0,81.4093627929688
Cayman Islands,CYM,2015.0,98.9811096191406
Cyprus,CYP,2015.0,91.9152297973633
Czechia,CZE,2015.0,99.871696472168
Germany,DEU,2015.0,100.0
Denmark,DNK,2015.0,100.0
Dominican Republic,DOM,2015.0,67.8394927978516
Ecuador,ECU,2015.0,81.1201705932617
"Egypt, Arab Rep.",EGY,2015.0,50.4255599369029
Spain,ESP,2015.0,88.8346481323242
Finland,FIN,2015.0,100.0
France,FRA,2015.0,97.2997589111328
Georgia,GEO,2015.0,98.9810599710537
Ghana,GHA,2015.0,43.9012318300658
Greece,GRC,2015.0,93.7157669067383
Guatemala,GTM,2015.0,38.7603302001953
"Hong Kong SAR, China",HKG,2015.0,93.4399185180664
Honduras,HND,2015.0,60.5022583007812
Croatia,HRV,2015.0,98.2451147817708
Hungary,HUN,2015.0,99.5034790039062
Indonesia,IDN,2015.0,73.6172637939453
Ireland,IRL,2015.0,99.6036215925103
Iceland,ISL,2015.0,100.0
Israel,ISR,2015.0,94.3380432128906
Italy,ITA,2015.0,93.7325820922852
Kazakhstan,KAZ,2015.0,98.7278137207031
Cambodia,KHM,2015.0,15.308690071106
Kiribati,KIR,2015.0,92.4968353216464
"Korea, Rep.",KOR,2015.0,92.8199920654297
Kuwait,KWT,2015.0,64.4744110107422
Sri Lanka,LKA,2015.0,83.66681208894
Lithuania,LTU,2015.0,98.4116592407227
Luxembourg,LUX,2015.0,99.5669144731112
Latvia,LVA,2015.0,99.7077713012695
Moldova,MDA,2015.0,99.3496932983398
Mexico,MEX,2015.0,78.0581665039062
North Macedonia,MKD,2015.0,89.096683375433
Mali,MLI,2015.0,12.2627096176147
Malta,MLT,2015.0,98.4747772216797
Montenegro,MNE,2015.0,96.4297925947643
Mongolia,MNG,2015.0,97.3926764896403
Mozambique,MOZ,2015.0,29.6378002166748
Mauritania,MRT,2015.0,25.9109706878662
